Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE; KIT,ORAL,ANDA,211835,APREPITANT,APREPITANT,2026/3/9,Substance P/Neurokinin-1 Receptor Antagonist,2003,GOLDEN STATE MEDICAL SUPPLY INC,2020/10/21-,51407-701; 51407-702; 51407-703; 51407-704,1NF15YR6UY,APREPITANT,APREPITANT,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/377c3ecb-fdec-dde4-e063-6294a90a29bd/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=377c3ecb-fdec-dde4-e063-6294a90a29bd,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=377c3ecb-fdec-dde4-e063-6294a90a29bd,377c3ecb-fdec-dde4-e063-6294a90a29bd,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE; KIT,ORAL,ANDA,207777,Aprepitant,APREPITANT,2026/1/28,Substance P/Neurokinin-1 Receptor Antagonist,2003,GLENMARK PHARMACEUTICALS INC USA,2017/10/12-,68462-112; 68462-583; 68462-584; 68462-585,1NF15YR6UY,APREPITANT,APREPITANT,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d72e0e10-4557-41b0-b65d-d395468cad19/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d72e0e10-4557-41b0-b65d-d395468cad19,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d72e0e10-4557-41b0-b65d-d395468cad19,d72e0e10-4557-41b0-b65d-d395468cad19,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE; KIT,ORAL,ANDA,207777,Aprepitant,APREPITANT,2025/11/27,Substance P/Neurokinin-1 Receptor Antagonist,2003,BLUEPOINT LABORATORIES,2025/12/01-,68001-666; 68001-667; 68001-668; 68001-669,1NF15YR6UY,APREPITANT,APREPITANT,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a78aaa00-a46b-4f9e-a415-2fca9e9a4fb4/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a78aaa00-a46b-4f9e-a415-2fca9e9a4fb4,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a78aaa00-a46b-4f9e-a415-2fca9e9a4fb4,a78aaa00-a46b-4f9e-a415-2fca9e9a4fb4,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, EMULSION",INTRAVENOUS,NDA,209296,CINVANTI,APREPITANT,2025/11/21,Substance P/Neurokinin-1 Receptor Antagonist,2003,HERON THERAPEUTICS INC,2018/01/03-,47426-201,1NF15YR6UY,APREPITANT,APREPITANT,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4c218d3a-a508-4abc-9ed8-a6e8e191d1b4/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4c218d3a-a508-4abc-9ed8-a6e8e191d1b4,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4c218d3a-a508-4abc-9ed8-a6e8e191d1b4,4c218d3a-a508-4abc-9ed8-a6e8e191d1b4,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE; KIT,ORAL,ANDA,211835,APREPITANT,APREPITANT,2024/10/2,Substance P/Neurokinin-1 Receptor Antagonist,2003,TORRENT PHARMACEUTICALS LIMITED,2020/10/21-,13668-591; 13668-592; 13668-593; 13668-594,1NF15YR6UY,APREPITANT,APREPITANT,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/af9b6086-4bf2-472c-8740-4134eaaebace/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=af9b6086-4bf2-472c-8740-4134eaaebace,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=af9b6086-4bf2-472c-8740-4134eaaebace,af9b6086-4bf2-472c-8740-4134eaaebace,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE; KIT,ORAL,ANDA,090999,Aprepitant,APREPITANT,2024/9/9,Substance P/Neurokinin-1 Receptor Antagonist,2003,SANDOZ INC,2016/12/27-,0781-2321; 0781-2322; 0781-2323; 0781-4063,1NF15YR6UY,APREPITANT,APREPITANT,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f58b8944-93ee-4be1-a238-cc0061ddd93a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f58b8944-93ee-4be1-a238-cc0061ddd93a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f58b8944-93ee-4be1-a238-cc0061ddd93a,f58b8944-93ee-4be1-a238-cc0061ddd93a,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE; KIT; POWDER, FOR SUSPENSION",ORAL,NDA,021549;207865,EMEND,APREPITANT,2024/7/5,Substance P/Neurokinin-1 Receptor Antagonist,2003,MERCK SHARP AND DOHME LLC,2003/03/26-; 2015/12/17-,0006-0461; 0006-0462; 0006-0464; 0006-3066; 0006-3862,1NF15YR6UY,aprepitant,aprepitant,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/696f9e80-9cae-403b-de9e-078343ce4713/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=696f9e80-9cae-403b-de9e-078343ce4713,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=696f9e80-9cae-403b-de9e-078343ce4713,696f9e80-9cae-403b-de9e-078343ce4713,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,021549,EMEND,APREPITANT,2012/2/23,Substance P/Neurokinin-1 Receptor Antagonist,2003,REBEL DISTRIBUTORS CORP,2003/03/26-,42254-160,1NF15YR6UY,aprepitant,aprepitant,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ec44482e-6194-4829-a3f7-ebe8d48a41a5/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ec44482e-6194-4829-a3f7-ebe8d48a41a5,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ec44482e-6194-4829-a3f7-ebe8d48a41a5,ec44482e-6194-4829-a3f7-ebe8d48a41a5,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE; KIT,ORAL,NDA,021549,EMEND; Emend,APREPITANT,2010/3/19,Substance P/Neurokinin-1 Receptor Antagonist,2003,PHYSICIANS TOTAL CARE INC,2005/06/24-; 2005/06/29-,54868-5231; 54868-5325,1NF15YR6UY,APREPITANT,APREPITANT,1NF15YR6UY,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/db16d6b9-3b89-431d-97f9-9b4a8300e913/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=db16d6b9-3b89-431d-97f9-9b4a8300e913,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=db16d6b9-3b89-431d-97f9-9b4a8300e913,db16d6b9-3b89-431d-97f9-9b4a8300e913,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,BLA,761034,TECENTRIQ,ATEZOLIZUMAB,2025/11/25,Programmed Death Receptor-1 Blocking Antibody,2016,GENENTECH INC,2016/05/18-; 2019/03/08-,50242-917; 50242-918,52CMI0WC3Y,ATEZOLIZUMAB,ATEZOLIZUMAB,52CMI0WC3Y,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6fa682c9-a312-4932-9831-f286908660ee/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6fa682c9-a312-4932-9831-f286908660ee,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6fa682c9-a312-4932-9831-f286908660ee,6fa682c9-a312-4932-9831-f286908660ee,,,,,,,,,,,,,,,,,,,
